type,title,country,month_added,release_year,rating,listed_in,duration_in_mins,,,,show_id,director,cast,description
Movie,Disney Channel's Epic Holiday Showdown,United States,December,2020,TV-G,"Fantasy, Variety",50,,,,s339,Others,Others,DC stars try to save the holidays from Scrooge.
Movie,Disney Holiday Magic Quest,United States,December,2020,TV-G,Movies,46,,,,s340,Others,Others,ZOMBIES stars race to save the holiday magic!
Movie,Gender Revolution: A Journey With Katie Couric,United States,December,2017,TV-14,Documentary,93,,,,s341,Others,Katie Couric,Katie Couric explores questions about gender identity with experts and everyday people.
Movie,High School Musical: The Musical: The Holiday Special,United States,December,2020,TV-G,"Drama, Music, Romance",46,,,,s342,Others,"Olivia Rodrigo, Joshua Bassett, Sofia Wylie, Matt Cornett, Larry Saperstein, Julia Lester",The cast of High School Musical: The Musical: The Series celebrates the holidays with music & more!
Movie,Ralph Breaks the Internet,United States,December,2018,PG,"Action-Adventure, Animation, Comedy",116,,,,s343,"Rich Moore, Phil Johnston","John C. Reilly, Sarah Silverman, Gal Gadot, Jane Lynch, Jack McBrayer, Alan Tudyk",Ralph and Vanellope are swept into the internet.
Movie,Safety,United States,December,2020,PG,"Biographical, Drama, Sports",123,,,,s344,Reginald Hudlin,"Jay Reeves, Thaddeus J. Mixson, Corinne Foxx, Matthew Glave, James Badge Dale, Hunter Sansone",A drama inspired by the empowering story of former Clemson University safety Ray McElrathbey.
Movie,Anastasia,United States,December,1997,G,"Animation, Family, Fantasy",95,,,,s345,"Don Bluth, Gary Goldman","Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd, Hank Azaria, Bernadette Peters","A girl heads to Paris to learn if she is the long lost princess, Anastasia."
Movie,Godmothered,United States,December,2020,PG,"Comedy, Family, Fantasy",113,,,,s346,Sharon Maguire,"June Squibb, Jillian Bell, Jane Curtin, Carlease Burke, Sonia Manzano, Erica Parks",An inexperienced fairy godmother-in-training tries to prove that people still need fairy godmothers.
Movie,Man vs. Shark,United States,December,2019,TV-PG,"Animals & Nature, Documentary",45,,,,s347,Others,"Jeremiah Sullivan, Dave Hoffman",Marine biologist attempts to get bitten by a deadly tiger shark and survive
Movie,Mulan,"United States, Canada, Hong Kong",December,2020,PG-13,"Action-Adventure, Coming of Age, Drama",117,,,,s348,Niki Caro,"Yifei Liu, Donnie Yen, Gong Li, Jet Li, Jason Lee, Yoson An",A young woman risks it all to be a great Chinese warrior in Disney’s MULAN.
Movie,Sky High,United States,December,2005,PG,"Action-Adventure, Comedy, Family",101,,,,s349,Mike Mitchell,"Kelly Preston, Lynda Carter, Michael Angarano, Danielle Panabaker, Mary Elizabeth Winstead, Bruce Campbell",It takes inner and outer strength to make a name for yourself when you're the son of heroes.
Movie,The Disney Holiday Singalong,United States,December,2020,TV-G,"Family, Music, Variety",45,,,,s350,Others,"Ryan Seacrest, Andrea Bocelli, BTS , Michael Bublé, Ciara , Chloe x Halle",A festive musical event with more Disney melodies and classic holiday songs.
Movie,The Nutcracker and the Four Realms,United States,December,2018,PG,"Action-Adventure, Family, Fantasy",101,,,,s351,"Lasse Hallström, Joe Johnston","Keira Knightley, Mackenzie Foy, Eugenio Derbez, Jayden Fowora-Knight, Matthew Macfadyen, Richard Grant",From Disney comes the reimagined tale of The Nutcracker.
Movie,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",United States,November,2014,PG,"Comedy, Coming of Age, Family",83,,,,s352,Miguel Arteta,"Steve Carell, Jennifer Garner, Ed Oxenbould, Dylan Minnette, Kerris Dorsey, Jennifer Coolidge",It's one calamity after another during the worst day of Alexander's life.
Movie,Black Beauty,United States,November,2020,TV-PG,"Animals & Nature, Coming of Age, Drama",111,,,,s353,Ashley Avis,"Mackenzie Foy, Kate Winslet, Iain Glen, Calam Lynch, Claire Forlani, Fern Deacon",A wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.
Movie,From Our Family to Yours,United Kingdom,November,2020,TV-G,"Animation, Family",3,,,,s354,Angela Affinita,Others,"A granddaughter brings joy on Christmas by mending a beloved Mickey, evoking memories of the past."
TV Show,Once Upon a Time in Wonderland,"Canada, United States",November,2013,TV-PG,"Action-Adventure, Fantasy, Soap Opera / Melodrama",360,,,,s355,Others,"Sophie Lowe, Michael Socha, Peter Gadiot, Emma Rigby, Naveen Andrews, John Lithgow",Alice tells a tale of a strange new land.
TV Show,Party Animals,Others,November,2016,TV-G,"Animals & Nature, Kids, Music",360,,,,s356,Others,Others,This music video series captures the funny moments animals have in their day-to-day lives.
Movie,Folklore: the long pond studio sessions,United States,November,2020,TV-14,"Documentary, Music",107,,,,s357,Others,"Taylor Swift, Aaron Dessner, Jack Antonoff, Justin Vernon",An intimate musical concert featuring Taylor Swift performing every song from “folklore.”
TV Show,Bia,Argentina,November,2019,TV-G,"Coming of Age, Drama, Music",360,,,,s358,Others,"Isabela Souza, Giulia Guerrini, Julio Peña, Guido Messina, Andrea de Alba, Agustina Palma","Bia is filled with passion, after the loss of her sister she will rediscover music and find love."
TV Show,Marvel's 616,United States,November,2020,TV-14,"Anthology, Docuseries",360,,,,s359,Others,Others,An anthology documentary series exploring the impact of the Marvel Comics Universe.
Movie,Planes,United States,November,2013,PG,"Action-Adventure, Animation, Comedy",94,,,,s360,Klay Hall,"Dane Cook, Stacy Keach, Brad Garrett, Teri Hatcher, Julia Louis-Dreyfus, Priyanka Chopra",A crop duster takes on the world’s fastest in the greatest air race ever.
Movie,Planes: Fire & Rescue,United States,November,2014,PG,"Action-Adventure, Animation, Comedy",85,,,,s361,Bobs Gannaway,"Dane Cook, Ed Harris, Julie Bowen, Curtis Armstrong, John Higgins, Hal Holbrook",Air racer Dusty teams up with a dynamic crew of flying firefighters.
Movie,The Real Right Stuff,United States,November,2020,TV-PG,"Documentary, Historical",90,,,,s362,Others,Others,The Real Right Stuff tells the story of the nation’s first astronauts.
TV Show,The Wonderful World of Mickey Mouse,United States,November,2020,TV-G,"Action-Adventure, Animation, Anthology",360,,,,s363,Others,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer, Tony Anselmo, Tress MacNeille",It's nothing but fun for Mickey and friends as they embark on their greatest adventures yet.
Movie,LEGO Star Wars Holiday Special,United States,November,2020,TV-Y7-FV,"Action-Adventure, Animation, Comedy",48,,,,s364,Ken Cunningham,"Helen Sadler, Omar Miller, Jake Green, Kelly Marie Tran, Trevor Devall, Matt Sloan","On the festive Life Day, Rey and BB-8 embark on an epic adventure across Star Wars history."
Movie,Home Alone,United States,November,1990,PG,"Comedy, Family",103,,,,s365,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Roberts Blossom, Catherine O'Hara","When Kevin is home while his family goes on a Christmas trip, he must defend his home from burglars."
Movie,Home Alone 2: Lost in New York,United States,November,1992,PG,"Comedy, Family",121,,,,s366,Chris Columbus,"Macaulay Culkin, Joe Pesci, Daniel Stern, John Heard, Devin Ratray, Catherine O'Hara",Kevin is home alone in NYC but won't be for long since the Wet Bandits are also in the Big Apple.
Movie,Home Alone 3,United States,November,1997,PG,"Comedy, Family",103,,,,s367,Raja Gosnell,"Alex D. Linz, Haviland Morris, Olek Krupa","A gang of criminals come up against 8 year-old Alex Pruitt, who is home alone with the chicken pox."
TV Show,Inside Pixar,United States,November,2020,TV-PG,"Docuseries, Family",360,,,,s368,Others,Others,"An inside look at the people, artistry, and culture of Pixar Animation Studios."
Movie,Petra: Secrets of the Ancient Builders,United Arab Emirates,November,2019,TV-G,"Documentary, Historical",45,,,,s369,"Thierry Fessard, Yohann Thiriet",Bert Morris,"Discover the technical prowess behind Petra, a wonder in the middle of the desert."
Movie,Ultimate Viking Sword,Others,November,2019,TV-PG,"Documentary, Historical",45,,,,s370,Peter Yost,Jay Sanders,"National Geographic reconstructs the Ulfberht, a Viking warrior’s ultimate weapon."
Movie,Disney's A Christmas Carol,United States,November,2009,PG,"Animation, Fantasy",97,,,,s371,Robert Zemeckis,"Jim Carrey, Gary Oldman, Colin Firth, Bob Hoskins, Robin Penn, Cary Elwes",Three ghosts take Ebenezer Scrooge on an eye-opening journey.
TV Show,Fancy Nancy (Shorts),Others,November,2019,TV-Y,"Animation, Kids",360,,,,s372,Others,"Mia Sinclair Jenness, Dana Heath, Spencer Moss, Alyson Hannigan",Follow Nancy as she shows you how to be more Fancy!
TV Show,Goldie & Bear,United States,November,2015,TV-Y,"Action-Adventure, Animation, Buddy",720,,,,s373,Others,"Georgie Kidder, Justine Huxley, Natalie Lander, Jim Cummings, David Kaufman, David Lodge",Goldie and Bear go on adventures in Fairytale Forest.
Movie,Mr. Magoo,United States,November,1997,PG,"Action-Adventure, Comedy, Crime",88,,,,s374,Stanley Tong,"Leslie Nielsen, Kelly Lynch, Ernie Hudson, Stephen Tobolowsky, Nick Chinlund, Matt Keeslar",Clueless Mr. Magoo sets out to get back a stolen precious gem.
Movie,Prep & Landing,United States,November,2009,TV-G,"Animation, Family, Fantasy",23,,,,s375,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Sarah Chalke, Mason Cotton, Lino DiSalvo, Derek Richardson, William Sheppard",An elite elf unit ensures homes around the world are prepared for Santa.
Movie,Prep & Landing: Naughty vs. Nice,United States,November,2011,TV-G,"Animation, Family, Fantasy",23,,,,s376,"Kevin Deters, Stevie Wermers-Skelton","Dave Foley, Derek Richardson, Sarah Chalke, Rob Riggle, Chris Parnell, W. Sheppard",Wayne and Lanny race to save Christmas!
Movie,Disney Channel Halloween House Party,United States,October,2020,TV-G,"Comedy, Variety",23,,,,s377,Trevor Moore,"Tobie Windham, Raphael Alejandro, Suzi Barrett, Isaac Ryan Brown, Kylie Cantrall, Scarlett Estevez","Disney Channel Stars celebrate Halloween in a sketch comedy special with tricks, treats, and more!"
TV Show,The Mandalorian,United States,October,2019,TV-14,"Action-Adventure, Family, Science Fiction",720,,,,s378,Others,"Pedro Pascal, Carl Weathers, Gina Carano, Omid Abtahi, Nick Nolte","After the fall of the Empire, a lone gunfighter makes his way through the lawless galaxy."
Movie,The Sorcerer's Apprentice,United States,October,2010,PG,"Action-Adventure, Fantasy",111,,,,s379,Jon Turteltaub,"Nicolas Cage, Jay Baruchel, Alfred Molina, Teresa Palmer, Monica Bellucci, Omar Miller",A modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.
TV Show,X-Ray Earth,United States,October,2020,TV-PG,"Animals & Nature, Docuseries, Reality",360,,,,s380,Others,Others,What if we could x-ray the Earth to reveal the origins of natural disasters? Now we can.
TV Show,Gathering Storm,United States,October,2020,TV-PG,"Animals & Nature, Docuseries",360,,,,s381,Others,Tucker McDougall,"Witness first hand stories combined with scientific insight, analysis and satellite mapping."
TV Show,India From Above,Others,October,2019,TV-PG,"Docuseries, Reality",360,,,,s382,Others,Dev Patel,"India From Above, a two-part aerial documentary of a nation and its people."
TV Show,Marvel Super Hero Adventures,United States,October,2017,TV-Y,"Action-Adventure, Animation, Kids",1440,,,,s383,Others,Others,Spider-Man sets off on adventures with Marvel heroes!
Movie,Once Upon a Snowman,United States,October,2020,TV-PG,"Animation, Comedy, Coming of Age",12,,,,s384,"Dan Abraham, Trent Correy","Josh Gad, Idina Menzel, Kristen Bell, Jonathan Groff, Chris Williams",This new short film follows Olaf’s first steps as he comes to life and searches for his identity.
Movie,Pompeii: Secrets Of The Dead,United States,October,2019,TV-PG,"Documentary, Historical",45,,,,s385,Ben Finney,Maite Jauregui,Forensic experts scan Pompeii’s victims to investigate why they didn’t escape the eruption.
Movie,Toy Story of Terror!,United States,October,2013,TV-G,"Animation, Comedy, Family",22,,,,s386,Angus MacLane,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers, Stephen Tobolowsky, Timothy Dalton",Join the Toy Story gang in a frighteningly fun animated adventure.
Movie,Beverly Hills Chihuahua,"United States, Mexico",October,2008,PG,"Action-Adventure, Comedy, Family",95,,,,s387,Raja Gosnell,"Piper Perabo, Manolo Cardona, Jamie Curtis, Jose Yazpik, Maury Sterling, Jesus Ochoa","Papi has to rescue his true love, Chloe, when she gets lost in Mexico."
Movie,Clouds,United States,October,2020,PG-13,"Biographical, Drama, Music",122,,,,s388,Justin Baldoni,"Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Scott, Lil Rel Howery",A young musician with months to live turns to music to make the most of the time he has left.
Movie,Lost on Everest,United States,October,2020,TV-14,"Animals & Nature, Documentary, Survival",60,,,,s389,Renan Ozturk,Tate Donovan,The quest to reveal what happened to the explorers who first set out to summit Mt. Everest.
Movie,Marvel's Iron Man & Captain America: Heroes United,United States,October,2014,PG,"Action-Adventure, Animation, Science Fiction",72,,,,s390,Leo Riley,"Adrian Pasdar, Roger Smith, Fred Tatasciore, David Kaye, Liam O'Brien, Clancy Brown",Iron Man and Captain America battle the Red Skull and Taskmaster.
TV Show,Meet The Chimps,United States,October,2020,TV-PG,"Animals & Nature, Docuseries, Family",360,,,,s391,Others,Jane Lynch,"Meet the Chimps takes viewers inside the secret life of Chimp Haven, a unique wildlife sanctuary."
TV Show,The Rocketeer,United States,October,2019,TV-Y,"Action-Adventure, Animation, Kids",360,,,,s392,Others,"Kitana Turnbull, Billy Campbell, Kathy Najimy, Callan Farris, Frank Welker",Kit becomes a rocket-pack wearing superhero!
Movie,Oil Spill of The Century,Others,October,2019,TV-PG,"Documentary, Historical",45,,,,s393,Others,Loïck Peyron,Loïck Peyron investigates the 1978 Amoco Cadiz oil spill and its impact.
Movie,The Chronicles Of Narnia: The Voyage of the Dawn Treader,"United States, United Kingdom",October,2010,PG,"Action-Adventure, Family, Fantasy",113,,,,s394,Michael Apted,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Tilda Swinton",Three heroes sail with King Caspian to help Narnian lords banished by an evil usurper of the throne.
TV Show,The Right Stuff,United States,October,2020,TV-14,"Drama, Historical",360,,,,s395,Others,"Jake McDorman, Patrick Adams, Colin O’Donoghue, Eloise Mumford, James Lafferty, Nora Zehetner",The incredible story of the Mercury Seven astronauts and their extraordinary achievements.
Movie,Wild Portugal,Others,October,2020,TV-14,"Animals & Nature, Documentary, Family",45,,,,s396,Christian Baumeister,Bart Thomasson,Explore a rugged world where diverse species fight for survival.
Movie,X2,"Canada, United States",October,2003,PG-13,"Action-Adventure, Family, Science Fiction",134,,,,s397,Bryan Singer,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry, Famke Janssen, James Marsden","X-Men newcomer, Night Crawler, joins Magneto to rescue their brethren and forestall a holocaust."
Movie,Mr. Holland's Opus,United States,October,1996,PG,"Drama, Music",143,,,,s398,Stephen Herek,"Richard Dreyfuss, Glenne Headly, Jay Thomas, W.H. Macy, Alicia Witt, Jean Kelly",A musician finds his passion when he takes a “day job” as a music teacher.
Movie,Disneynature Oceans,"France, Switzerland, Spain, United States, United Arab Emirates",September,2010,G,"Animals & Nature, Documentary, Family",84,,,,s399,"Jacques Perrin, Jacques Cluzaud","Pierce Brosnan, Lancelot Perrin",Journey into the depths of a wonderland filled with beauty and power.
Movie,Hidden Figures,United States,September,2016,PG,"Biographical, Drama, Family",128,,,,s400,Theodore Melfi,"Taraji Henson, Octavia Spencer, Janelle Monáe, Kevin Costner, Kirsten Dunst, Jim Parsons",A story about three women at NASA who helped launch John Glenn into orbit.
TV Show,Magic of Disney's Animal Kingdom,United Kingdom,September,2020,TV-PG,"Animals & Nature, Docuseries, Family",360,,,,s401,Others,Josh Gad,Magic of Disney’s Animal Kingdom goes backstage at Walt Disney World Resort. Narrated by Josh Gad.
Movie,Secret Society of Second-Born Royals,United States,September,2020,TV-PG,"Action-Adventure, Coming of Age, Family",99,,,,s402,Others,"Peyton Lee, Niles Fitch, Isabella Blake-Thomas, Olivia Deeble, Skylar Astin, Elodie Yung","Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals."
Movie,The Giant Robber Crab,United States,September,2019,TV-PG,"Animals & Nature, Documentary",44,,,,s403,Moritz Katz,Colin Solman,"As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies."
TV Show,Wild Central America,Others,September,2020,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",360,,,,s404,Others,Nigel Marven,Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.
TV Show,Ancient China from Above,United States,September,2020,TV-14,"Docuseries, Historical",360,,,,s405,Others,Dr. Allan Maca,Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.
TV Show,Becoming,United States,September,2020,TV-PG,"Anthology, Docuseries, Family",360,,,,s406,Others,Others,"Becoming chronicles the origin stories of world-class entertainers, musicians and athletes."
TV Show,Coop & Cami Ask The World,United States,September,2018,TV-G,"Comedy, Family, Kids",720,,,,s407,Others,"Ruby Turner, Dakota Lotus, Olivia Sanabia, Albert Tsai, Paxton Booth, Rebecca Metz","Cooper and Cami Wrather co-host ""Would You Wrather."""
TV Show,Europe from Above,United Kingdom,September,2019,TV-G,"Docuseries, Reality",360,,,,s408,Others,Julian Barratt,Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.
Movie,Ever After: A Cinderella Story,United States,September,1998,PG-13,"Drama, Romance",122,,,,s409,Andy Tennant,"Drew Barrymore, Anjelica Huston, Dougray Scott, Patrick Godfrey, Megan Dodds, Melanie Lynskey",A young woman falls in love with a prince while pretending to be a princess.
TV Show,Kingdom of the Mummies,United States,September,2020,TV-14,"Docuseries, Historical, Reality",360,,,,s410,Others,Kerry Shale,A team of archaeologists uncover the first Egyptian funeral parlor ever found.
Movie,Morning Light,United States,September,2008,PG,"Documentary, Sports",99,,,,s411,Mark Monroe,Patrick Warburton,"Fifteen rookie sailors race to be part of the ""Morning Light"" crew."
Movie,Notre Dame: Race Against The Inferno,"United Kingdom, France",September,2019,TV-PG,Documentary,45,,,,s412,"Fabrice Gardel, Simon Kessler, Josselin Mahot",Paul Bandey,"On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral."
TV Show,Once Upon a Time,United States,September,2011,TV-PG,"Action-Adventure, Fantasy, Soap Opera / Melodrama",2520,,,,s413,Others,"Ginnifer Goodwin, Jennifer Morrison, Robert Carlyle, Lana Parrilla, Jared Gilmore, Josh Dallas",Fairy tale characters inhabit a land of good and evil.
TV Show,Soy Luna,"Argentina, Mexico",September,2015,TV-G,"Comedy, Coming of Age, Drama",1080,,,,s414,Others,"Karol Sevilla, Ruggero Pasquarelli, Valentina Zenere, Lucila Gandolfo, Michael Ronda, Carolina Kopelioff",Luna will learn that love transcends distance.
TV Show,Violetta,Argentina,September,2011,TV-G,"Coming of Age, Drama, Music",1080,,,,s415,Others,"Diego Ramos, Martina Stoessel, Pablo Espinosa, Jorge Blanco, Mercedes Lambre, Nicolás Garnier",Violetta is a talented teen following her dream.
Movie,Christopher Robin,"United Kingdom, United States",September,2018,PG,"Drama, Family, Fantasy",109,,,,s416,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Oliver Davies, Ronke Adekoluejo",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.
Movie,D2: The Mighty Ducks,United States,September,1994,PG,"Comedy, Drama, Family",107,,,,s417,Sam Weisman,"Emilio Estevez, Michael Tucker, Jan Rubeš, Kathryn Erbe, Joshua Jackson, Elden Ratliff",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.
Movie,D3: The Mighty Ducks,United States,September,1996,PG,"Comedy, Coming of Age, Drama",104,,,,s418,Robert Lieberman,"Emilio Estevez, Jeffrey Nordling, David Selby, Heidi Kling, Joshua Jackson, Elden Ratliff",The Mighty Ducks inherit a new coach and a new set of problems.
TV Show,Earth to Ned,United States,September,2020,TV-PG,"Comedy, Parody, Science Fiction",360,,,,s419,Others,Others,"From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests."
Movie,Trick or Treat,United States,September,1952,TV-G,"Animation, Family, Fantasy",9,,,,s420,Jack Hannah,Others,"Donald plays a trick on his nephews, but a witch helps them out. See details for advisory."
Movie,Alice Through the Looking Glass,"United States, United Kingdom",August,2016,PG,"Action-Adventure, Fantasy",115,,,,s421,James Bobin,"Johnny Depp, Anne Hathaway, Mia Wasikowska, Matt Lucas, Rhys Ifans, Helena Carter",Alice returns to Underland to save the Mad Hatter in a race against time.
Movie,Phineas and Ferb The Movie: Candace Against the Universe,United States,August,2020,TV-G,"Action-Adventure, Animation, Comedy",86,,,,s422,Others,"Ashley Tisdale, Vincent Martella, Ali Wong, Dan Povenmire, Alyson Stoner, Maulik Pancholy","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens."
Movie,Back to the Titanic,United Kingdom,August,2020,TV-PG,"Documentary, Historical",44,,,,s423,Others,Others,Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.
Movie,Beauty and the Beast,United States,August,2017,PG,"Family, Fantasy, Musical",138,,,,s424,Bill Condon,"Emma Watson, Dan Stevens, Luke Evans, Kevin Kline, Josh Gad, Ewan McGregor",Belle must look beyond the Beast’s exterior to find the true Prince within.
Movie,Mars: One Day on the Red Planet,United States,August,2020,TV-PG,Documentary,88,,,,s425,Martin Johnson,Nigel Barber,"An epic journey around the real Mars – built from data, as you’ve never seen it before."
Movie,The One and Only Ivan,United States,August,2020,PG,"Drama, Family, Fantasy",95,,,,s426,Thea Sharrock,"Sam Rockwell, Angelina Jolie, Danny DeVito, Helen Mirren, Brooklynn Prince, Ramón Rodríguez",An adaptation of the award-winning book about a very special gorilla.
TV Show,"Weirdest, Bestest, Truest",Others,August,2018,TV-G,"Animals & Nature, Kids, Variety",360,,,,s427,Others,"Charlie Engelman, Kirby Engelman",Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!
TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),Others,August,2020,TV-Y,"Animation, Kids, Music",360,,,,s428,Others,"Jet Jurgensmeyer, Christian Simon, Megan Hilty",What happens after the baby animals are delivered?
Movie,Disney Zombies 2,United States,August,2020,TV-G,"Coming of Age, Fantasy, Musical",84,,,,s429,Paul Hoen,"Milo Manheim, Meg Donnelly, Trevor Tordjman, Kylee Russell, Carla Jeffery, Chandler Kinney",Zed and Addison encounter a group of werewolves!
Movie,India's Wild Leopards,India,August,2020,TV-14,"Animals & Nature, Documentary",45,,,,s430,Others,"Sandesh Kadur, Priya Singh",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.
TV Show,Jungle Animal Rescue,United States,August,2019,TV-PG,"Animals & Nature, Docuseries, Family",360,,,,s431,Others,Dan Nachtrab,A team of conservationists and veterinarians helps India’s people and wildlife coexist.
Movie,Magic Camp,United States,August,2020,PG,"Comedy, Family",101,,,,s432,Mark Waters,"Adam DeVine, Gillian Jacobs, Nathaniel McIntyre, Jeffrey Tambor, Cole Sand, Isabella Crovetti",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.
Movie,Marvel Studios' Ant-Man and the Wasp,United States,August,2018,PG-13,"Action-Adventure, Comedy, Science Fiction",120,,,,s433,Peyton Reed,"Paul Rudd, Evangeline Lilly, Michael Peña, Walton Goggins, Hannah John-Kamen, David Dastmalchian",Ant-Man and the Wasp must join forces to uncover secrets from the past.
TV Show,Nature Boom Time,United States,August,2016,TV-G,"Animals & Nature, Docuseries, Kids",360,,,,s434,Others,"Charlie Engelman, Kirby Engelman, Patrick Rahill","Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome."
TV Show,Sam's Zookeeper Challenge,United States,August,2018,TV-G,"Animals & Nature, Docuseries, Family",360,,,,s435,Others,Sam Peltz,Sam is put to the test to care for animals in “Zookeeper’s Challenge.”
TV Show,Scuba Sam's World,United States,August,2018,TV-G,"Animals & Nature, Docuseries, Kids",360,,,,s436,Others,Sam Peltz,Take a deep dive and learn all about the beloved sea animals in our oceans!
TV Show,Spaced Out,Others,August,2018,TV-G,"Docuseries, Kids",360,,,,s437,Others,Ben DeTour,Learn about our universe through imagery taken from the Hubble Space Telescope.
Movie,The Greatest Showman,United States,August,2017,PG,"Biographical, Drama, Family",106,,,,s438,Michael Gracey,"Hugh Jackman, Zac Efron, Michelle Williams, Rebecca Ferguson, Zendaya , Keala Settle",A bold and original musical celebrating the birth of show business and dreams coming to life.
TV Show,Weird But True!,United States,August,2017,TV-G,"Animals & Nature, Kids, Variety",1080,,,,s439,Others,"Charlie Engelman, Kirby Engelman","Come along as we reveal fun, strange & surprising facts about our world in Weird But True!"
TV Show,Wild Cats of India,United States,August,2020,TV-PG,"Animals & Nature, Docuseries, Family",360,,,,s440,Others,James Murray,Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.
Movie,Howard,United States,August,2020,TV-PG,"Biographical, Documentary, Music",95,,,,s441,Don Hahn,Howard Ashman,"“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics."
Movie,Prince of Persia: The Sands of Time,United States,August,2010,PG-13,"Action-Adventure, Fantasy",117,,,,s442,Mike Newell,"Jake Gyllenhaal, Ben Kingsley, Gemma Arterton, Alfred Molina, Richard Coyle, Toby Kebbell",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.
Movie,Star Wars: Galaxy's Edge-Adventure Awaits,United States,August,2019,TV-PG,"Documentary, Family",81,,,,s443,Others,"Neil Harris, Kaley Cuoco, Oscar Isaac, Sarah Hyland, Keegan-Michael Key, Jay Leno",Celebrating Disney’s new land that brings Star Wars to life!
Movie,The Hidden Kingdoms of China,United States,August,2020,TV-PG,"Animals & Nature, Documentary, Family",88,,,,s444,"Ben Wallis, Emma Fraser, Jess Tombs",Michelle Yeoh,THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.
Movie,The Peanuts Movie,United States,August,2015,G,"Animation, Comedy, Family",89,,,,s445,Steve Martino,"Noah Schnapp, Alex Garfin, Hadley Miller, Mariel Sheets, Venus Schultheis, Noah Johnston","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest."
TV Show,UFO Europe: The Untold Stories,Others,August,2012,TV-PG,"Docuseries, Reality",360,,,,s446,Others,Robert Ashby,A selection of stories featuring encounters and sightings of the unexplained.
TV Show,Animal Showdown,Others,July,2018,TV-G,"Animals & Nature, Docuseries, Family",360,,,,s447,Others,Brian Peck,Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.
TV Show,Best Job Ever,Others,July,2018,TV-G,"Animals & Nature, Docuseries, Family",360,,,,s448,Others,Others,Check out the cool jobs Nat Geo explorers do every day!
Movie,Big Cat Games,Others,July,2015,TV-PG,"Animals & Nature, Family, Reality",44,,,,s449,Jeremy Turner,Boone Smith,"Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title."
Movie,Black Is King,United States,July,2020,TV-14,"Dance, Music, Musical",86,,,,s450,Beyoncé Knowles-Carter,Beyoncé Knowles-Carter,"This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens."
Movie,Cradle of the Gods,United Kingdom,July,2012,TV-PG,"Documentary, Historical",45,,,,s451,Tim Conrad,Tim Conrad,"Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple."
TV Show,Destination World,Others,July,2018,TV-G,"Animals & Nature, Docuseries, Kids",360,,,,s452,Others,Rick Robles,Check out the continents and find out what makes them unique from each other!
TV Show,Fearless Adventures with Jack Randall,Others,July,2018,TV-PG,"Animals & Nature, Docuseries, Family",360,,,,s453,Others,Jack Randall,Check out Jack Randall go head-to-head with all kinds of critters.
Movie,Hunt for the Abominable Snowman,Others,July,2011,TV-PG,Documentary,45,,,,s454,Dan Oliver,Stephen Rashbrook,"Across the Himalayas are stories of the yeti, or abominable snowman."
